framenumber, male_x, male_y, male_angle, female_x, female_y, female_angle
585 ,217,154,0.475381578272 ,101,48,2.11116862304
586 ,217,154,0.473419361181 ,101,48,2.10775668092
587 ,217,154,0.473175548783 ,102,47,2.07155956131
588 ,217,154,0.483066262756 ,101,47,2.17101624433
589 ,217,154,0.507373200341 ,101,48,2.13530158963
590 ,217,155,0.526609212895 ,100,47,2.17356036211
591 ,216,154,0.559469424953 ,101,47,2.15461556623
592 ,217,155,0.551045180635 ,101,47,2.15983536196
593 ,217,154,0.492399843428 ,101,47,2.14819794721
594 ,216,154,0.545241753145 ,100,47,2.18745240905
595 ,216,154,0.510617196865 ,101,46,2.10643412184
596 ,216,154,0.521870916683 ,100,47,2.17527430601
597 ,218,155,0.427456529718 ,100,47,2.17839506476
598 ,218,154,0.382581732718 ,100,47,2.20690733344
599 ,216,154,0.540969643283 ,100,47,2.18254546816
600 ,216,154,0.540969643283 ,100,47,2.18254546816
